date,neg,neu,pos,compound
2019-04-21,0.197,0.803,0.0,-0.4019
2019-04-22,0.345,0.473,0.182,-0.34
2019-04-24,0.0,0.824,0.176,0.128
2019-04-20,0.189,0.551,0.26,0.2263
2019-04-23,0.175,0.723,0.102,-0.296
2019-04-17,0.126,0.874,0.0,-0.0772
2019-04-19,0.0,1.0,0.0,0.0
2019-04-25,0.0,0.755,0.245,0.4404
2019-04-18,0.0,0.85,0.15,0.3182
2019-04-26,0.0,0.741,0.259,0.1027
2019-04-29,0.495,0.505,0.0,-0.5994
2019-04-27,0.0,1.0,0.0,0.0
2019-04-28,0.106,0.894,0.0,-0.3071
2019-04-30,0.0,1.0,0.0,0.0
2019-05-01,0.0,1.0,0.0,0.0
2019-05-04,0.167,0.833,0.0,-0.296
2019-05-03,0.0,0.8,0.2,0.3612
2019-05-06,0.0,1.0,0.0,0.0
2019-05-07,0.0,0.467,0.533,0.6908
2019-05-02,0.0,1.0,0.0,0.0
2019-05-05,0.252,0.748,0.0,-0.4019
2019-05-09,0.0,1.0,0.0,0.0
2019-05-13,0.0,0.823,0.177,0.6239
2019-05-11,0.0,1.0,0.0,0.0
2019-05-12,0.0,0.574,0.426,0.886
2019-05-15,0.0,0.787,0.213,0.4019
2019-05-16,0.294,0.603,0.103,-0.5469
2019-05-14,0.182,0.818,0.0,-0.4404
2019-05-17,0.0,1.0,0.0,0.0
2019-05-18,0.0,0.735,0.265,0.2023
2019-05-21,0.0,1.0,0.0,0.0
2019-05-22,0.144,0.619,0.237,0.2263
2019-05-19,0.0,1.0,0.0,0.0
2019-05-20,0.0,0.776,0.224,0.3818
2019-05-23,0.0,1.0,0.0,0.0
2019-05-24,0.0,1.0,0.0,0.0
2019-05-26,0.0,0.476,0.524,0.765
2019-05-27,0.158,0.842,0.0,-0.128
2019-05-30,0.0,1.0,0.0,0.0
2019-05-28,0.307,0.693,0.0,-0.6492
2019-05-29,0.307,0.693,0.0,-0.6492
2019-06-01,0.0,1.0,0.0,0.0
2019-06-02,0.0,1.0,0.0,0.0
2019-06-03,0.0,1.0,0.0,0.0
2019-06-04,0.333,0.667,0.0,-0.5423
2019-06-05,0.0,0.789,0.211,0.34
2019-06-06,0.0,1.0,0.0,0.0
2019-06-07,0.0,1.0,0.0,0.0
2019-06-09,0.167,0.833,0.0,-0.4614
2019-06-10,0.0,1.0,0.0,0.0
2019-06-11,0.0,1.0,0.0,0.0
2019-06-12,0.0,1.0,0.0,0.0
2019-06-13,0.0,1.0,0.0,0.0
2019-06-14,0.0,1.0,0.0,0.0
2019-06-17,0.0,1.0,0.0,0.0
2019-06-18,0.0,1.0,0.0,0.0
2019-06-16,0.0,0.817,0.183,0.4005
2019-06-19,0.179,0.578,0.243,0.2732
2019-06-20,0.0,0.667,0.333,0.4588
2019-06-22,0.184,0.816,0.0,-0.4019
2019-06-24,0.0,1.0,0.0,0.0
2019-06-25,0.176,0.824,0.0,-0.128
2019-06-23,0.0,0.909,0.091,0.2023
2019-06-28,0.0,1.0,0.0,0.0
2019-06-27,0.074,0.926,0.0,-0.0516
2019-06-29,0.0,1.0,0.0,0.0
2019-06-30,0.255,0.745,0.0,-0.34
2019-07-01,0.0,1.0,0.0,0.0
2019-07-04,0.0,1.0,0.0,0.0
2019-07-05,0.0,1.0,0.0,0.0
2019-07-06,0.0,1.0,0.0,0.0
2019-07-07,0.0,1.0,0.0,0.0
2019-07-08,0.0,1.0,0.0,0.0
2019-07-10,0.0,1.0,0.0,0.0
2019-07-09,0.167,0.833,0.0,-0.1027
2019-07-11,0.0,1.0,0.0,0.0
2019-07-13,0.0,1.0,0.0,0.0
2019-07-14,0.0,0.815,0.185,0.3612
2019-07-15,0.0,0.504,0.496,0.7096
2019-07-16,0.0,1.0,0.0,0.0
2019-07-17,0.225,0.775,0.0,-0.4404
2019-07-19,0.0,1.0,0.0,0.0
2019-07-20,0.0,0.672,0.328,0.5267
2019-07-21,0.0,1.0,0.0,0.0
2019-07-22,0.0,1.0,0.0,0.0
2019-07-23,0.0,1.0,0.0,0.0
2019-07-25,0.0,1.0,0.0,0.0
2019-07-26,0.0,0.809,0.191,0.3818
2019-07-27,0.0,1.0,0.0,0.0
2019-07-28,0.262,0.738,0.0,-0.5994
2019-07-29,0.0,1.0,0.0,0.0
2019-07-30,0.0,1.0,0.0,0.0
2019-07-31,0.0,1.0,0.0,0.0
2019-08-01,0.0,1.0,0.0,0.0
2019-08-02,0.0,0.625,0.375,0.5859
2019-08-03,0.0,1.0,0.0,0.0
2019-08-04,0.245,0.638,0.117,-0.296
2019-08-05,0.0,1.0,0.0,0.0
2019-08-06,0.0,1.0,0.0,0.0
2019-08-07,0.0,1.0,0.0,0.0
2019-08-11,0.0,0.776,0.224,0.3818
2019-08-08,0.0,0.776,0.224,0.3818
2019-08-09,0.0,0.776,0.224,0.3818
2019-08-10,0.0,0.776,0.224,0.3818
2019-08-13,0.0,0.809,0.191,0.3818
2019-08-16,0.0,1.0,0.0,0.0
2019-08-14,0.0,0.935,0.065,0.1531
2019-08-15,0.0,0.816,0.184,0.4019
2019-08-17,0.0,1.0,0.0,0.0
2019-08-19,0.086,0.824,0.09,0.0258
2019-08-20,0.0,1.0,0.0,0.0
2019-08-21,0.0,0.776,0.224,0.3818
2019-08-22,0.145,0.855,0.0,-0.296
2019-08-23,0.0,0.85,0.15,0.3182
2019-08-25,0.14,0.467,0.393,0.5719
2019-08-24,0.0,0.779,0.221,0.5697
2019-08-27,0.0,1.0,0.0,0.0
2019-08-30,0.0,1.0,0.0,0.0
2019-08-29,0.0,0.649,0.351,0.4019
2019-09-01,0.0,0.815,0.185,0.3612
2019-09-02,0.0,0.812,0.188,0.4588
2019-09-04,0.0,1.0,0.0,0.0
2019-09-03,0.0,1.0,0.0,0.0
2019-09-06,0.0,1.0,0.0,0.0
2019-09-08,0.0,1.0,0.0,0.0
2019-09-07,0.0,1.0,0.0,0.0
2019-09-05,0.113,0.887,0.0,-0.1027
2019-09-09,0.0,0.794,0.206,0.3818
2019-09-10,0.0,1.0,0.0,0.0
2019-09-13,0.167,0.833,0.0,-0.1027
2019-09-14,0.0,1.0,0.0,0.0
2019-09-11,0.0,0.803,0.197,0.4019
2019-09-12,0.0,0.617,0.383,0.4767
